time, avg_wait, num_trains, avg_dist
0, 0.000000, 2, 4.000000
30, 14.999404, 8, 4.000000
60, 31.265012, 14, 4.000000
90, 47.810632, 19, 1.722222
120, 63.803946, 25, 2.291667
150, 76.969773, 30, 1.241379
180, 97.448508, 35, 0.558824
210, 109.111301, 39, 0.026316
240, 123.637557, 39, 0.789474
270, 143.998773, 41, 0.500000
300, 159.895970, 43, 0.333333
330, 175.363274, 45, 0.272727
360, 191.483309, 48, 0.191489
390, 211.209669, 50, 0.183673
420, 230.880113, 51, 0.200000
450, 249.569971, 52, 0.333333
480, 258.206181, 54, 0.433962
510, 291.886557, 56, 0.272727
540, 316.953786, 57, 0.250000
570, 318.172878, 60, 0.186441
600, 382.827127, 60, 0.271186
630, 369.783488, 60, 0.288136
660, 453.364579, 52, 0.588235
690, 475.655968, 43, 0.928571
720, 385.631338, 35, 1.382353
750, 1.111111, 28, 2.000000
780, 3.101972, 21, 3.050000
810, 4.296558, 17, 2.750000
840, 3.572791, 21, 3.100000
870, 3.491269, 19, 3.166667
900, 4.500625, 17, 2.812500
930, 1.692853, 20, 3.315789
960, 1.219619, 18, 3.705882
990, 1.384175, 18, 3.823529
1020, 1.800528, 18, 3.823529
1050, 3.272482, 18, 3.117647
1080, 3.006729, 19, 3.500000
1110, 5.840402, 21, 3.050000
1140, 6.465614, 21, 2.750000
1170, 1.978295, 21, 2.800000
1200, 3.742915, 17, 3.000000
1230, 3.335018, 18, 3.117647
1260, 4.024107, 19, 2.944444
1290, 2.256227, 18, 3.235294
1320, 3.573915, 20, 3.210526
1350, 4.582117, 20, 3.052632
1380, 4.389665, 21, 3.100000
1410, 5.577368, 21, 2.800000
